study_id,authors,year,title,journal,doi,pmid
ZHU2012,Zhu L; Nemoto T; Yoon J; Maruyama J; Kitamoto K,2012,"Improved heterologous protein production by a tripeptidyl peptidase gene (AosedD) disruptant of the filamentous fungus Aspergillus oryzae",Journal of General and Applied Microbiology,10.2323/jgam.58.199,22878738
YOON2010,Yoon J; Aishan T; Maruyama J; Kitamoto K,2010,Enhanced production and secretion of heterologous proteins by the filamentous fungus Aspergillus oryzae via disruption of vacuolar protein sorting receptor gene Aovps10,Applied and Environmental Microbiology,10.1128/AEM.03087-09,20622126
JIN2007,Jin FJ; Watanabe T; Juvvadi PR; Maruyama J; Arioka M; Kitamoto K,2007,"Double disruption of the proteinase genes, tppA and pepE, increases the production level of human lysozyme by Aspergillus oryzae",Applied Microbiology and Biotechnology,10.1007/s00253-007-1088-4,17622525
YOON2013,Yoon J; Kikuma T; Maruyama J; Kitamoto K,2013,Enhanced production of bovine chymosin by autophagy deficiency in the filamentous fungus Aspergillus oryzae,PLoS One,10.1371/journal.pone.0062512,23658635
HOANG2015,Hoang HD; Maruyama J; Kitamoto K,2015,Modulating endoplasmic reticulum-Golgi cargo receptors for improving secretion of carrier-fused heterologous proteins in the filamentous fungus Aspergillus oryzae,Applied and Environmental Microbiology,10.1128/AEM.02133-14,25362068
YOON2011,Yoon J; Maruyama J; Kitamoto K,2011,Disruption of ten protease genes in the filamentous fungus Aspergillus oryzae highly improves production of heterologous proteins,Applied Microbiology and Biotechnology,10.1007/s00253-010-2937-0,20957357
MULLER2003,Müller C; Hansen K; Szabo P; Nielsen J,2003,Effect of deletion of chitin synthase genes on mycelial morphology and culture viscosity in Aspergillus oryzae,Biotechnology and Bioengineering,10.1002/bit.10491,12514801
OHNO2011,Ohno A; Maruyama J; Nemoto T; Arioka M; Kitamoto K,2011,A carrier fusion significantly induces unfolded protein response in heterologous protein production by Aspergillus oryzae,Applied Microbiology and Biotechnology,10.1007/s00253-011-3487-9,21822643
YAVER2000,Yaver DS; Lamsa M; Munds R; Brown SH; Otani S; Franssen L; Johnstone JA; Brody H,2000,Using DNA-tagged mutagenesis to improve heterologous protein production in Aspergillus oryzae,Fungal Genetics and Biology,10.1006/fgbi.1999.1179,10779397
NEMOTO2009RNAI,Nemoto T; Maruyama J; Kitamoto K,2009,Improvement of heterologous protein production in Aspergillus oryzae by RNA interference with alpha-amylase genes,"Bioscience, Biotechnology, and Biochemistry",10.1271/bbb.90177,19897917
ZHU2013,Zhu L; Maruyama J; Kitamoto K,2013,Further enhanced production of heterologous proteins by double-gene disruption (ΔAosedD ΔAovps10) in a hyper-producing mutant of Aspergillus oryzae,Applied Microbiology and Biotechnology,10.1007/s00253-013-4795-z,23504109
PANCHANAWAPORN2026,Panchanawaporn S; Rattanaphan N; Jeennor S; Anantayanon J; Woraprayote W; Pumpuang L; Karirat T; Prompakdee N; Laoteng K; Chutrakul C,2026,Two-step engineering of food-grade Aspergillus oryzae via endogenous signal peptides and vesicle trafficking proteins to enhance carrier-free protein secretion,Journal of Fungi,10.3390/jof12040289,42042383
YOON2009,Yoon J; Kimura S; Maruyama J; Kitamoto K,2009,Construction of quintuple protease gene disruptant for heterologous protein production in Aspergillus oryzae,Applied Microbiology and Biotechnology,10.1007/s00253-008-1815-5,19107471
NEMOTO2009AUT,Nemoto T; Watanabe T; Mizogami Y; Maruyama J; Kitamoto K,2009,Isolation of Aspergillus oryzae mutants for heterologous protein production from a double proteinase gene disruptant,Applied Microbiology and Biotechnology,10.1007/s00253-008-1851-1,19151971
MARUYAMA2008,Maruyama J; Kitamoto K,2008,Multiple gene disruptions by marker recycling with highly efficient gene-targeting background (ΔligD) in Aspergillus oryzae,Biotechnology Letters,10.1007/s10529-008-9763-9,18574559
