outcome_id,experiment_id,strain,arm,value,unit,measured_what,vs_control,day,assay,source_ref,notes
ZHU2012_001,ZHU2012_CHY,SlD-AKC1,control,27.3,mg/L,Highest secreted CHY yield reported,1.0x,4,milk-clotting assay,Fig. 6B,
ZHU2012_002,ZHU2012_CHY,SlD1-sD2-AKC1,modified,78.0,mg/L,Highest secreted CHY yield reported,2.9x,4,milk-clotting assay,Fig. 6B,
ZHU2012_003,ZHU2012_CHY,SlD1-sD2-AKC8,modified,75.5,mg/L,Highest secreted CHY yield reported,2.8x,4,milk-clotting assay,Fig. 6B,
ZHU2012_004,ZHU2012_CHY,SlD1-sD2-AKC9,modified,77.5,mg/L,Highest secreted CHY yield reported,2.8x,4,milk-clotting assay,Fig. 6B,
ZHU2012_005,ZHU2012_HLY,SlD-HLY1,control,12.7,mg/L,Highest secreted HLY yield reported,1.0x,4,lysozyme activity assay,Fig. 6D,
ZHU2012_006,ZHU2012_HLY,SlD1-sD2-HLY1,modified,22.0,mg/L,Highest secreted HLY yield reported,1.7x,4,lysozyme activity assay,Fig. 6D,
ZHU2012_007,ZHU2012_HLY,SlD1-sD2-HLY2,modified,20.3,mg/L,Highest secreted HLY yield reported,1.6x,4,lysozyme activity assay,Fig. 6D,
ZHU2012_008,ZHU2012_HLY,SlD1-sD2-HLY6,modified,19.7,mg/L,Highest secreted HLY yield reported,1.6x,4,lysozyme activity assay,Fig. 6D,
YOON2010_001,YOON2010_CHY,SlD-AKC1,control,28.7,mg/L,Highest secreted CHY yield reported,1.0x,4,milk-clotting assay,Fig. 5B,
YOON2010_002,YOON2010_CHY,SlDv10-AKC3,modified,83.1,mg/L,Highest secreted CHY yield reported,3.0x,4,milk-clotting assay,Fig. 5B,
YOON2010_003,YOON2010_CHY,SlDv10-AKC4,modified,70.3,mg/L,Highest secreted CHY yield reported,2.5x,4,milk-clotting assay,Fig. 5B,
YOON2010_004,YOON2010_HLY,SlD-HLY1,control,11.1,mg/L,Highest secreted HLY yield reported,1.0x,4,lysozyme activity assay,Fig. 5D,
YOON2010_005,YOON2010_HLY,SlDv10-HLY1,modified,22.6,mg/L,Highest secreted HLY yield reported,2.0x,4,lysozyme activity assay,Fig. 5D,
YOON2010_006,YOON2010_HLY,SlDv10-HLY2,modified,24.6,mg/L,Highest secreted HLY yield reported,2.2x,4,lysozyme activity assay,Fig. 5D,
JIN2007_001,JIN2007_TPPA,NA-2L,control,15.6,mg/L,Highest secreted HLY yield reported,1.0x,4,lysozyme activity assay,Fig. 4,
JIN2007_002,JIN2007_TPPA,NA-2L-tp5,modified,21.2,mg/L,Highest secreted HLY yield reported,1.36x,4,lysozyme activity assay,Fig. 4,
JIN2007_003,JIN2007_PEPA,NA-2L-peA4,modified,16.5,mg/L,Highest secreted HLY yield reported,1.06x,4,lysozyme activity assay,Fig. 4,"read from Fig. 4, not stated in text"
JIN2007_004,JIN2007_PEPE,NA-2L-peE10,modified,17.0,mg/L,Highest secreted HLY yield reported,1.09x,4,lysozyme activity assay,Fig. 4,"read from Fig. 4, not stated in text"
JIN2007_005,JIN2007_ALPA,NA-2L-al3,modified,17.0,mg/L,Highest secreted HLY yield reported,1.09x,4,lysozyme activity assay,Fig. 4,"read from Fig. 4, not stated in text"
JIN2007_006,JIN2007_PALB,NA-2L-pa3,modified,17.8,mg/L,Highest secreted HLY yield reported,1.14x,4,lysozyme activity assay,Fig. 4,"calculated from the stated 14% increase, not read from the figure"
JIN2007_007,JIN2007_TPPA_PEPE,N-2L,control,15.6,mg/L,Highest secreted HLY yield reported,1.0x,4,lysozyme activity assay,Fig. 5,back-calculated from 25.4 / 1.63; no N-2L value is stated in the paper
JIN2007_008,JIN2007_TPPA_PEPE,N2L-peE-tp6,modified,25.4,mg/L,Highest secreted HLY yield reported,1.63x,4,lysozyme activity assay,Fig. 5,
JIN2007_009,JIN2007_TPPA_PALB,N2L-pa-tp6,modified,16.0,mg/L,Highest secreted HLY yield reported,1.03x,4,lysozyme activity assay,Fig. 5,"read from Fig. 5, not stated in text; fold-change is a ratio of two estimates"
YOON2013_001,YOON2013_ATG1_DEL,TODO,control,TODO,mg/L,Highest secreted CHY yield reported,TODO,4,milk-clotting assay,Fig. 2,
YOON2013_002,YOON2013_ATG1_DEL,SKu70-ΔAoatg1-AKC2,modified,TODO,mg/L,Highest secreted CHY yield reported,2.3x,4,milk-clotting assay,Fig. 2,
YOON2013_003,YOON2013_ATG4_DEL,SKu70-ΔAoatg4-AKC1,modified,TODO,mg/L,Highest secreted CHY yield reported,3.1x,4,milk-clotting assay,Fig. 2,
YOON2013_004,YOON2013_ATG8_DEL,ΔAoatg8-AKC1,modified,TODO,mg/L,Highest secreted CHY yield reported,2.5x,4,milk-clotting assay,Fig. 2,
YOON2013_005,YOON2013_ATG13_DEL,SKu70-ΔAoatg13-AKC1,modified,TODO,mg/L,Highest secreted CHY yield reported,1.4x,4,milk-clotting assay,Fig. 2,
YOON2013_006,YOON2013_ATG15_DEL,SKu70-ΔAoatg15-AKC2,modified,TODO,mg/L,Highest secreted CHY yield reported,TODO,4,milk-clotting assay,Fig. 2,Paper reports no significant increase; no value given.
YOON2013_007,YOON2013_ATG1_REPRESS,SlD-AKC1,control,TODO,mg/L,Secreted CHY production at day 4,1.0x,4,milk-clotting assay,Fig. 4A,
YOON2013_008,YOON2013_ATG1_REPRESS,SlD-PtA1-AKC,modified,TODO,mg/L,Secreted CHY production at day 4,1.7x,4,milk-clotting assay,Fig. 4A,
YOON2013_009,YOON2013_ATG4_REPRESS,SlD-PtA4-AKC,modified,TODO,mg/L,Secreted CHY production at day 4,1.7x,4,milk-clotting assay,Fig. 4A,
YOON2013_010,YOON2013_ATG8_REPRESS,SlD-PtA8-AKC,modified,TODO,mg/L,Secreted CHY production at day 4,2.4x,4,milk-clotting assay,Fig. 4A,
YOON2013_011,YOON2013_ATG15_REPRESS,SlD-PtA15-AKC,modified,TODO,mg/L,Secreted CHY production at day 4,1.6x,4,milk-clotting assay,Fig. 4A,
