outcome_id,experiment_id,strain,arm,value,unit,measured_what,vs_control,day,assay,source_ref,notes
ZHU2012_001,ZHU2012_CHY,SlD-AKC1,control,27.3,mg/L,Highest secreted CHY yield reported,1.0x,4,milk-clotting assay,Fig. 6B,
ZHU2012_002,ZHU2012_CHY,SlD1-sD2-AKC1,modified,78.0,mg/L,Highest secreted CHY yield reported,2.9x,4,milk-clotting assay,Fig. 6B,
ZHU2012_003,ZHU2012_CHY,SlD1-sD2-AKC8,modified,75.5,mg/L,Highest secreted CHY yield reported,2.8x,4,milk-clotting assay,Fig. 6B,
ZHU2012_004,ZHU2012_CHY,SlD1-sD2-AKC9,modified,77.5,mg/L,Highest secreted CHY yield reported,2.8x,4,milk-clotting assay,Fig. 6B,
ZHU2012_005,ZHU2012_HLY,SlD-HLY1,control,12.7,mg/L,Highest secreted HLY yield reported,1.0x,4,lysozyme activity assay,Fig. 6D,
ZHU2012_006,ZHU2012_HLY,SlD1-sD2-HLY1,modified,22.0,mg/L,Highest secreted HLY yield reported,1.7x,4,lysozyme activity assay,Fig. 6D,
ZHU2012_007,ZHU2012_HLY,SlD1-sD2-HLY2,modified,20.3,mg/L,Highest secreted HLY yield reported,1.6x,4,lysozyme activity assay,Fig. 6D,
ZHU2012_008,ZHU2012_HLY,SlD1-sD2-HLY6,modified,19.7,mg/L,Highest secreted HLY yield reported,1.6x,4,lysozyme activity assay,Fig. 6D,
YOON2010_001,YOON2010_CHY,SlD-AKC1,control,28.7,mg/L,Highest secreted CHY yield reported,1.0x,4,milk-clotting assay,Fig. 5B,
YOON2010_002,YOON2010_CHY,SlDv10-AKC3,modified,83.1,mg/L,Highest secreted CHY yield reported,3.0x,4,milk-clotting assay,Fig. 5B,
YOON2010_003,YOON2010_CHY,SlDv10-AKC4,modified,70.3,mg/L,Highest secreted CHY yield reported,2.5x,4,milk-clotting assay,Fig. 5B,
YOON2010_004,YOON2010_HLY,SlD-HLY1,control,11.1,mg/L,Highest secreted HLY yield reported,1.0x,4,lysozyme activity assay,Fig. 5D,
YOON2010_005,YOON2010_HLY,SlDv10-HLY1,modified,22.6,mg/L,Highest secreted HLY yield reported,2.0x,4,lysozyme activity assay,Fig. 5D,
YOON2010_006,YOON2010_HLY,SlDv10-HLY2,modified,24.6,mg/L,Highest secreted HLY yield reported,2.2x,4,lysozyme activity assay,Fig. 5D,
